FIPS,parish_name,Population,Median_Household_Income,Percent_less_18_yo,Percent_65_over,Percent_Black,Percent_American_Indian_Alaska_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Hispanic,Percent_Non_Hispanic_White,Percent_Not_Proficient_in_English,Life_Expectancy,Average_Daily_PM2_5,Weighted_RH_Ave,Weighted_IH_Ave,COVID19_Cases,COVID19_Deaths,Deaths_per_10000,Deaths_Black,Deaths_White,Deaths_Other,Cases_Black,Cases_White,Cases_Other,Black_Deaths_per_10000,White_Deaths_per_10000,Other_Deaths_per_10000,Age_Adjusted_Cancer_Incidence_Rate_cases_per_100k,Percent_Frequent_Physical_Distress,Percent_Frequent_Mental_Distress,Percent_Adults_with_Diabetes,Percent_Food_Insecure,Number_Drug_Overdose_Deaths,Drug_Overdose_Mortality_Rate,Percent_Uninsured,Average_Grade_Performance,Average_Grade_Performance_Asian,Average_Grade_Performance_Black,Average_Grade_Performance_Hispanic,Average_Grade_Performance_White,Average_Grade_Performance,Average_Grade_Performance_Asian,Average_Grade_Performance_Black,Average_Grade_Performance_Hispanic,Average_Grade_Performance_White,Percent_Enrolled_in_Free_or_Reduced_Lunch,Segregation_index_black_white,Segregation_Index_non_white_white,Percent_Female,Percent_Rural,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,High_School_Graduation_Rate,Percent_some_college,Percent_Unemployed,Percent_Children_in_Poverty,Eightyth_Percentile_Income,twentyth_Percentile_Income,Income_Ratio,Percent_Single_Parent_Households,Percent_Severe_Housing_Problems,Cancer_Alley
22021,Caldwell Parish,9960,40842,23.14257028,17.76104418,15.81325301,0.401606426,0.391566265,0.030120482,3.182730924,79.15662651,1.694915254,73.5,9.2,0.529007391,0.008580187,1097,29,29.11646586,2,27,0,182,595,186,11.96888091,32.8827183,0,494.6,15.27493077,16.1154708,15.2,15.8,,,11,2.913890613,,,,,3.178254277,,,,,56.07537362,38.28275769,39.2817257,48.6,100,21.75242789,4.888008079,5.110631089,23.44471506,39.7,7.5,27.3,37.23845243,90.1,37,5.723993727,30.1,82557,12417,6.648707417,37.73747841,13.89270977,0
22023,Cameron Parish,6968,57299,22.11538462,16.48966705,3.989667049,0.789322618,0.301377727,0.057405281,4.262342136,89.43742824,2.723378213,82,9.1,0.705281697,0.012622525,580,6,8.610792193,,,,41,578,52,0,0,0,436.3,12.59045279,13.99342268,19.4,6.4,,,9,3.252307726,,,,,2.950657904,,,,,39.5280236,27.8775574,27.8775574,50.2,100,16.82358723,4.214990061,4.680755845,18.68357793,35.1,9,33.4,60.50592192,91.1,60,3.524771999,19.6,111119,26019,4.270686806,21.30257802,6.967984934,0
22025,Catahoula Parish,9608,35812,21.36761033,17.47502082,30.50582848,0.489175687,0.06244796,0.020815987,1.738134888,66.18442964,0.139739869,73.6,9,0.47578572,0.008513361,1095,38,39.55037469,6,32,0,275,501,123,18.69158879,48.75076173,0,554.9,14.88698559,15.81375281,12.9,17.1,,,11,2.916652294,,2.73374907,,3.035693942,2.886028845,,2.692966469,,3.051725548,54.29472025,50.24249437,50.10753712,47.1,100,22.4185963,4.79841305,5.043469385,22.54061383,37.1,6.6,39.7,16.1525896,87.8,37,6.802721088,37,99097,14121,7.017704129,42.54245067,11.52815013,0
22027,Claiborne Parish,15944,33659,18.08830908,19.10436528,51.60561967,0.539387858,0.457852484,0.025087807,1.524084295,44.79427998,0.371892738,75.9,9.6,0.543826915,0.00878916,1413,55,34.49573507,31,23,1,778,503,130,36.91794689,31.08948364,27.93296089,479.5,17.30506823,16.92058844,20.6,21.4,,,11,2.537535647,,2.489021518,,2.765628925,2.379281099,,2.218171471,,2.876781208,65.2453271,24.49089083,24.72547627,43.4,82.35533585,28.26747523,5.437801088,5.265822525,26.25988,37.9,6.1,34.9,39.25559756,90.2,37,5.243121647,41.1,61417,12098,5.076624235,52.5702536,19.46826758,0
22029,Concordia Parish,19572,35840,23.96280401,17.26445943,39.55139996,0.444512569,0.38830983,0.02043736,1.507255263,57.1632945,0.159872102,73,9,0.465878292,0.009713111,1836,60,30.65603924,28,32,0,665,942,125,34.0218712,27.63623802,0,467.6,17.1489644,17.3785343,16.5,22,,,10,2.626780453,,2.037004865,,3.136036142,2.495657971,,2.035739241,,2.930010412,65.22077922,42.77884973,41.95333364,49.3,33.45499952,26.03215211,5.395953083,5.363826026,24.56815675,34.5,5.3,38.7,30.94803573,83.3,38,7.029902243,38.7,71814,13654,5.259557639,49.92586317,13.91820581,0
22031,De Soto Parish,27436,44457,23.9502843,17.85245663,35.74136172,1.111678087,0.389998542,0.051027847,2.966904797,58.71482723,0.434782609,76.1,9.9,0.566085738,0.017816008,2739,77,28.06531564,43,33,0,1213,1177,268,44.20230263,20.16252215,0,524.7,15.69604134,16.18365304,17.2,18.1,,,10,2.810103907,,2.446479865,,3.132080668,2.568741574,,2.170323078,,2.92018133,38.84489086,48.90914525,45.01510079,51.8,77.26215486,23.00137157,5.107141219,5.223106164,22.02719112,38,6.5,32.6,43.81752701,93.8,46,5.746698903,24.5,98304,14734,6.671915298,47.87814489,12.86549708,0
22033,East Baton Rouge Parish,440956,52945,22.66144468,14.1800996,46.5320803,0.270321756,3.373806003,0.038099039,4.204274349,44.40375003,1.783591537,76.1,9,0.822223127,0.022704683,37871,776,17.5981277,388,368,18,16389,15490,3288,19.01625203,17.50413821,6.035812487,480.4,13.77897727,14.94312736,11.6,17.2,266,19.93612944,9,2.831147354,3.685070363,2.622744941,2.549249856,,2.671860796,3.983067604,2.476305612,2.412313839,,65.05973859,56.78248284,52.52080832,52.2,6.875964114,19.9904705,4.498049255,4.947129347,18.26994701,31.9,6.5,28.5,97.50028966,70.98819582,67,4.317403283,23.8,115031,20821,5.524758657,45.53616754,18.18936877,0
22035,East Carroll Parish,7037,27714,24.64118232,14.76481455,68.01193691,0.341054427,0.51158164,0,2.486855194,27.72488276,0.102219626,72.7,9.6,0.433166218,0.008103622,1122,24,34.10544266,,,,607,209,195,0,0,0,526.6,22.02086334,20.59838651,13.5,33.1,,,8,2.462463138,,,,,1.94411868,,,,,81.10236221,66.94369865,66.16059687,45.8,34.57919835,37.46227657,6.552512892,5.997267727,31.84808676,40,3.5,27.5,60.32993943,97.9,30,10.34658512,61.5,50603,8185,6.182406842,79.19762259,22.11350294,0
22037,East Feliciana Parish,19305,45174,18.27505828,17.72079772,42.48640249,0.497280497,0.331520332,0.015540016,1.667961668,53.77881378,0.425990833,73.5,9.3,0.587327563,0.011710093,3097,112,58.01605802,47,63,2,1556,1223,229,54.72752678,59.64779398,57.30659026,512.2,13.67640113,14.31256334,17,15.6,,,8,2.634715225,,2.559992297,,2.850973594,2.483052106,,2.356516824,,2.715631053,58.41170324,11.65193417,11.07885998,45.7,100,20.70147338,4.470182862,4.692298611,20.67579669,34.8,7.3,26.5,46.77554646,86.3,35,4.67032967,24.1,96907,17265,5.612916305,38.71882086,12.17008798,1
22039,Evangeline Parish,33443,34113,25.04859014,15.33056245,27.35101516,0.44254403,0.508327602,0.017940974,3.84235864,66.69258141,2.498245166,73.7,9.3,0.560090213,0.010089569,3477,91,27.21047753,30,59,2,994,1599,598,32.42191722,25.8874117,12.56281407,492.6,16.65449766,17.1912351,20.1,17.8,23,22.80388658,10,2.971617567,,2.64827361,,3.168935852,3.026089417,,2.819025325,,3.183088699,64.48566611,35.06765167,32.71480683,49.2,61.09345574,24.98864985,5.257915919,5.422748316,24.47897413,39.3,6.1,36.3,56.14701036,80.5,37,5.778956969,34.2,73190,14602,5.012327079,43.40607211,16.68070767,0
