FIPS,parish_name,Population,Median_Household_Income,Percent_65_over,Percent_Black,Percent_Non_Hispanic_White,Weighted_RH_Ave,Weighted_IH_Ave,covid_deaths_2020,covid_deaths_per_10k_2020,covid_deaths_2021,covid_deaths_july_2020,covid_deaths_july_2020_10k,covid_deaths_per_10k_2021,Black_Deaths_per_10k_2021,White_Deaths_per_10k_2021,Other_Deaths_per_10k_2021,Age_Adjusted_Cancer_Incidence_Rate_cases_per_100k,Percent_Adults_with_Diabetes,Percent_Uninsured,Segregation_Index_black_white,Percent_Female,Percent_Rural,Percent_Fair_or_Poor_Health,Percent_Smokers,Percent_Adults_with_Obesity,twentyth_Percentile_Income,Cancer_Alley,PM_2_5_Total_Emissions,PM_2_5_per_km_2,Average_Daily_PM2_5,RSEI_score,RSEI_rank_compared_to_all_risk_screening_score,RSEI_rank_compared_to_all_hazard,RSEI_rank_compared_to_all_pouds_emitted,TRI_Facilities,Total_On_Off_site_releases_and_disposal_pounds,Total_On_Site_Air_pounds
22029,Concordia Parish,19259,35840,17.26445943,39.55139996,57.1632945,0.465878292,0.009713111,38,19.73103484,60,7,3.634664313,31.15426554,34.0218712,27.63623802,,467.6,16.5,9.941598089,42.77884973,49.25914572,33.45499952,26.03215211,24.56815675,34.5,13654,0,688.5584968,0.355718526,9,0.86,2052.00,2140.00,2120.00,1.00,16.00,16.00
22031,De Soto Parish,27463,44457,17.85245663,35.74136172,58.71482723,0.566085738,0.017816008,51,18.57044023,77,21,7.646651859,28.03772348,44.20230263,20.77350767,,524.7,17.2,9.614953606,48.90914525,51.77139525,77.26215486,23.00137157,22.02719112,38,14734,0,1199.259513,0.517595539,9.9,19560.08,581.00,200.00,47.00,2.00,5400000.00,3900000.00
22033,East Baton Rouge Parish,440059,52945,14.1800996,46.5320803,44.40375003,0.822223127,0.022704683,583,13.24822353,791,284,6.453680075,17.97486246,19.11427395,17.78953176,6.371135403,480.4,11.6,8.609624528,56.78248284,52.23809178,6.875964114,19.9904705,18.26994701,31.9,20821,1,6998.263161,5.744809255,9,,,,,25.00,5700000.00,3900000.00
22035,East Carroll Parish,6861,27714,14.76481455,68.01193691,27.72488276,0.433166218,0.008103622,16,23.32021571,25,1,1.457513482,36.43783705,,,,526.6,13.5,8.241427712,66.94369865,45.84339918,34.57919835,37.46227657,31.84808676,40,8185,0,566.7312399,0.494312853,9.6,,,,,0.00,0.00,0.00
22037,East Feliciana Parish,19135,45174,17.72079772,42.48640249,53.77881378,0.587327563,0.011710093,91,47.55683303,112,34,17.76848707,58.5314868,54.72752678,59.64779398,57.30659026,512.2,17,8.208251758,11.65193417,45.68246568,100,20.70147338,20.67579669,34.8,17265,0,374.3456679,0.317195474,9.3,,,,,0.00,0.00,0.00
22039,Evangeline Parish,33395,34113,15.33056245,27.35101516,66.69258141,0.560090213,0.010089569,57,17.06842342,92,2,0.59889205,27.54903429,32.42191722,25.8874117,12.56281407,492.6,20.1,10.02078547,35.06765167,49.16424962,61.09345574,24.98864985,24.47897413,39.3,14602,0,913.2205646,0.518772298,9.3,2890.15,961.00,895.00,629.00,2.00,260600.00,257600.00
22041,Franklin Parish,20015,34446,17.88549315,31.51418932,65.11708672,0.470150542,0.008630469,81,40.46964776,105,14,6.994753935,52.46065451,53.62729033,51.79402492,,498.9,14.7,11.6769802,51.83628037,51.6173844,74.18500506,25.06302442,23.51562547,38.3,13637,0,664.6030374,0.404019953,9.3,,,,,0.00,0.00,0.00
22043,Grant Parish,22389,43502,15.21216974,15.22551374,76.54568099,0.600502617,0.009309061,40,17.8659163,55,3,1.339943722,24.56563491,34.82453791,23.93026038,,449.5,20.5,9.408635408,79.4429798,44.0619162,85.59325833,22.48648471,22.53944226,47.4,16635,0,2789.155817,1.619855979,9.5,2.90,1954.00,1896.00,2109.00,3.00,21700.00,20.00
22045,Iberia Parish,69830,42909,14.98146347,32.11260061,58.78969848,0.593561252,0.014681646,120,17.18459115,152,53,7.589861091,21.76714879,20.38780202,23.41867639,1.912411551,482.8,13.3,10.29525201,47.1812137,51.07483684,28.13626434,22.76526933,21.2427822,41.3,19021,0,4184.677564,1.568482458,9.4,13602.72,643.00,819.00,962.00,12.00,123600.00,95500.00
22047,Iberville Parish,32511,47917,15.83386816,48.25952752,47.50160447,0.851857429,0.017307648,73,22.45393867,98,43,13.22629264,30.14364369,38.28051459,21.54111275,12.93661061,539.8,15.2,8.505016308,22.51902359,49.4116928,59.21466439,21.56592166,20.99325181,38.1,19737,1,2556.97085,1.511984322,9.5,1900643.46,43.00,32.00,14.00,22.00,10400000.00,6300000.00
