FIPS,parish_name,Population,Median Household Income,Percent 65 and over,Percent Black,Respiratory Hazard (RH) Weighted Ave,Immunological Hazard (IH) Weighted Ave,First Wave of Covid Deaths per 10k,Second Wave of Covid Deaths per 10k,Third Wave of Covid Deaths per 10k,Current Covid Deaths per 10k thru 4/28/21,Percent Rural,Percent Smokers,Cancer Alley,Toxic Release Inventory (TRI) Facilities,TRI Total On Site Air Release (pounds)
22061,Lincoln Parish,46742,36525,13.55199593,40.29578778,0.579601546,0.011790772,3.850926362,6.84609131,8.985494844,19.68251252,40.6782925,20.97949762,0,7,77700
22063,Livingston Parish,140789,63088,13.19939527,6.546676507,0.653497652,0.015487276,2.699074502,2.983187607,8.736477992,14.4187401,41.11664818,21.60431621,0,4,38600
22065,Madison Parish,10951,28452,14.38939163,62.44064152,0.53099054,0.010209514,1.826317231,6.39211031,27.39475847,35.61318601,22.44273547,27.63817016,0,1,4200
22067,Morehouse Parish,24874,34023,18.75344515,47.73997953,0.517041169,0.009110946,3.216209697,7.63849803,18.49320576,29.34791348,50.03752815,22.6412886,0,2,25300
22069,Natchitoches Parish,38158,36298,16.59380739,40.98140149,0.585890259,0.009804381,3.668955396,4.193091881,14.41375334,22.27580062,50.05054845,23.70099409,0,6,912900
22071,Orleans Parish,390144,38855,14.77215183,59.11597265,0.559697834,0.027686297,13.68725394,1.563525262,4.972522966,20.22330217,0.591863979,22.60962413,1,2,5300
22073,Ouachita Parish,153279,44371,14.79009549,37.31542321,0.593518356,0.014306983,4.893038185,6.002126841,18.26734256,29.16250758,24.19138694,21.43165679,0,6,2600000
22075,Plaquemines Parish,23197,58643,13.42588637,20.72191371,0.424033097,0.01547847,7.328533862,0.862180454,3.01763159,11.20834591,19.53823453,19.50308214,1,8,404600
22077,Pointe Coupee Parish,21730,46603,20.5834093,35.32816773,0.565571703,0.011686769,12.42521859,6.902899218,14.26599172,33.59410953,57.81071836,19.59360247,0,3,311400
22079,Rapides Parish,129648,48116,16.3715323,31.74277355,0.602885251,0.012201245,4.78217944,7.636060718,11.80118475,24.2194249,39.52725035,22.43795674,0,13,474300
22081,Red River Parish,8442,36865,19.09873776,39.36534151,0.550847782,0.012515807,9.476427387,18.95285477,16.58374793,45.01303009,100,21.8837617,0,2,29300
22083,Richland Parish,20122,35103,17.55150555,35.37044374,0.49886185,0.009116275,1.987873969,6.957558891,17.89086572,26.83629858,66.04583836,23.22691861,0,1,367
22085,Sabine Parish,23884,36423,20.72237017,16.66527963,0.528573503,0.008620068,0.418690337,5.861664713,18.84106515,25.1214202,88.19791194,20.95449574,0,4,110200
22087,St. Bernard Parish,47244,43983,11.42954988,22.91260889,0.547282654,0.027877191,4.86834307,1.90500381,3.81000762,10.5833545,4.253837368,22.51784205,1,4,512400
22089,St. Charles Parish,53100,67585,13.56682237,25.98952325,0.949266563,0.019408916,9.22787194,2.63653484,5.461393597,17.32580038,11.48920046,18.72447371,1,21,2800000
22091,St. Helena Parish,10132,38699,19.93763399,51.93919314,0.596623477,0.009991252,0.98697197,2.96091591,5.92183182,9.8697197,100,23.91719357,0,0,0
22093,St. James Parish,21096,53903,17.16024148,48.84251557,0.656342967,0.01577809,13.74668184,5.214258627,4.740235116,23.70117558,27.70337526,19.00695547,1,11,1000000
22095,St. John the Baptist Parish,42837,50830,14.22749166,57.04195999,0.674504934,0.016412701,20.30954549,4.668861031,7.003291547,31.98169806,13.44612839,20.51601554,1,10,690500
22097,St. Landry Parish,82124,36624,16.10361993,41.28002513,0.553329597,0.011687832,6.940723784,9.61959963,14.24674882,30.80707223,48.17231124,24.39896934,0,2,256700
22099,St. Martin Parish,53431,46229,15.02582943,29.74953843,0.533726301,0.012411252,4.866088975,7.111976194,9.732177949,21.71024312,49.57055215,21.50437653,0,2,34200
22101,St. Mary Parish,49348,39764,16.55884598,31.3657733,0.53509655,0.012409272,7.700413391,9.929480425,9.524195509,27.15408932,13.03934126,21.57765947,0,13,700000
22103,St. Tammany Parish,260419,67054,16.92837578,12.25286795,0.55024082,0.013288468,6.719939789,3.68636697,9.561514329,19.96782109,23.21810559,17.70928058,0,3,5300
22105,Tangipahoa Parish,134758,47128,14.37466829,30.06421134,0.632577704,0.01359375,3.190905178,6.159189065,12.24417103,21.59426528,40.92917248,22.02475615,0,4,1100
22107,Tensas Parish,4334,28962,24.40609592,53.89959659,0.455752515,0.00818829,0,4.614674665,13.844024,18.45869866,100,28.47731875,0,,
22109,Terrebonne Parish,110461,51665,14.39727619,18.95587321,0.518297994,0.016598326,5.522311042,5.79390011,8.600320475,19.91653163,20.62846415,22.29123563,0,8,31900
22111,Union Parish,22108,43584,20.55530676,24.84997761,0.565993024,0.009608045,10.85579881,12.66509861,11.30812376,34.82902117,82.91008318,19.36931099,0,2,66300
22113,Vermilion Parish,59511,48263,15.22981782,14.15677754,0.59741126,0.011418692,1.008216968,10.75431433,8.233771908,19.9963032,54.62163141,20.42132765,0,6,82500
22115,Vernon Parish,47429,47664,12.19607041,13.82726156,0.662031435,0.010080374,1.686731746,10.12039048,9.487866073,21.2949883,49.8968166,20.29266779,0,2,226
22117,Washington Parish,46194,36850,17.93611266,30.11034305,0.593201785,0.012290119,9.958003204,5.628436593,12.33926484,27.92570464,66.6744403,23.23606837,0,2,2100000
22119,Webster Parish,38340,35070,19.75875045,34.00948503,0.567155571,0.012087264,2.869066249,7.824726135,18.51851852,29.2123109,53.04195889,22.964288,0,2,38700
22121,West Baton Rouge Parish,26465,58205,13.64891967,39.37639535,0.93880414,0.026024501,11.33572643,4.534290572,6.423578311,22.29359531,30.46073651,20.02215404,1,11,376200
22123,West Carroll Parish,10830,39332,19.03114187,15.6164633,0.437520603,0.007734212,4.616805171,7.386888273,25.85410896,37.8578024,100,21.27797866,0,,
22125,West Feliciana Parish,15568,60296,15.02587322,44.27554981,0.521375376,0.011423238,8.992805755,7.065775951,5.781089414,21.83967112,100,21.89836709,0,1,571600
22127,Winn Parish,13904,40133,18.5793123,30.61412198,0.587350152,0.00827859,3.596087457,10.78826237,16.5420023,30.92635213,64.89257494,22.92733809,0,5,111200
