FIPS,parish_name,Population,Median Household Income,Percent 65 and over,Percent Black,Respiratory Hazard (RH) Weighted Ave,First Wave of Covid Deaths per 10k,Second Wave of Covid Deaths per 10k,Third Wave of Covid Deaths per 10k,Current Covid Deaths per 10k thru 4/28/21,Percent Rural,Cancer Alley,TRI Total On Site Air Release (pounds),Poverty Rate
22059,La Salle Parish,14892,45742,16.92029228,11.97291681,0.538361108,0,6.715014773,17.45903841,24.17405318,73.19006044,0,29700,16.9
22061,Lincoln Parish,46742,36525,13.55199593,40.29578778,0.579601546,3.850926362,6.84609131,8.985494844,19.68251252,40.6782925,0,77700,29.5
22063,Livingston Parish,140789,63088,13.19939527,6.546676507,0.653497652,2.699074502,2.983187607,8.736477992,14.4187401,41.11664818,0,38600,12
22065,Madison Parish,10951,28452,14.38939163,62.44064152,0.53099054,1.826317231,6.39211031,27.39475847,35.61318601,22.44273547,0,4200,41.1
22067,Morehouse Parish,24874,34023,18.75344515,47.73997953,0.517041169,3.216209697,7.63849803,18.49320576,29.34791348,50.03752815,0,25300,31
22069,Natchitoches Parish,38158,36298,16.59380739,40.98140149,0.585890259,3.668955396,4.193091881,14.41375334,22.27580062,50.05054845,0,912900,19.6
22071,Orleans Parish,390144,38855,14.77215183,59.11597265,0.559697834,13.68725394,1.563525262,4.972522966,20.22330217,0.591863979,1,5300,23.5
22073,Ouachita Parish,153279,44371,14.79009549,37.31542321,0.593518356,4.893038185,6.002126841,18.26734256,29.16250758,24.19138694,0,2600000,23.9
22075,Plaquemines Parish,23197,58643,13.42588637,20.72191371,0.424033097,7.328533862,0.862180454,3.01763159,11.20834591,19.53823453,1,404600,15.1
22077,Pointe Coupee Parish,21730,46603,20.5834093,35.32816773,0.565571703,12.42521859,6.902899218,14.26599172,33.59410953,57.81071836,0,311400,20
22079,Rapides Parish,129648,48116,16.3715323,31.74277355,0.602885251,4.78217944,7.636060718,11.80118475,24.2194249,39.52725035,0,474300,18.3
