FIPS,Parish Name,First Wave of Covid Deaths per 10k,Second Wave of Covid Deaths per 10k,Third Wave of Covid Deaths per 10k,Fourth Wave of Covid Deaths per 10k,Covid Deaths per 10k thru 9/28/21,Population,Median Household Income,Percent 65 and over,Percent Black,Poverty Rate,Percent Rural,Respiratory Hazard (RH) Weighted Ave,TRI Total On Site Air Release (pounds),Cancer Alley
22075,Plaquemines Parish,7.328533862,0.862180454,3.01763159,3.879812045,15.08815795,23197,58643,13.42588637,20.72191371,15.1,19.53823453,0.424033097,404600,1
22077,Pointe Coupee Parish,12.42521859,6.902899218,14.26599172,3.681546249,37.27565578,21730,46603,20.5834093,35.32816773,20,57.81071836,0.565571703,311400,0
22079,Rapides Parish,4.78217944,7.636060718,11.80118475,9.872886585,34.09231149,129648,48116,16.3715323,31.74277355,18.3,39.52725035,0.602885251,474300,0
22081,Red River Parish,9.476427387,18.95285477,16.58374793,4.738213693,49.75124378,8442,36865,19.09873776,39.36534151,23.9,100,0.550847782,29300,0
22083,Richland Parish,1.987873969,6.957558891,17.89086572,10.43633834,37.27263691,20122,35103,17.55150555,35.37044374,25.1,66.04583836,0.49886185,367,0
22085,Sabine Parish,0.418690337,5.861664713,18.84106515,8.373806733,33.49522693,23884,36423,20.72237017,16.66527963,18.4,88.19791194,0.528573503,110200,0
22087,St. Bernard Parish,4.86834307,1.90500381,3.81000762,9.10168487,19.68503937,47244,43983,11.42954988,22.91260889,19.2,4.253837368,0.547282654,512400,1
22089,St. Charles Parish,9.22787194,2.63653484,5.461393597,5.084745763,22.59887006,53100,67585,13.56682237,25.98952325,11.1,11.48920046,0.949266563,2800000,1
22091,St. Helena Parish,0.98697197,2.96091591,5.92183182,4.93485985,14.80457955,10132,38699,19.93763399,51.93919314,19.6,100,0.596623477,0,0
22093,St. James Parish,13.74668184,5.214258627,4.740235116,8.058399697,31.75957527,21096,53903,17.16024148,48.84251557,16.6,27.70337526,0.656342967,1000000,1
22095,St. John the Baptist Parish,20.30954549,4.668861031,7.003291547,4.902304083,36.88400215,42837,50830,14.22749166,57.04195999,16,13.44612839,0.674504934,690500,1
22097,St. Landry Parish,6.940723784,9.61959963,14.24674882,8.767230042,39.57430227,82124,36624,16.10361993,41.28002513,22.6,48.17231124,0.553329597,256700,0
22099,St. Martin Parish,4.866088975,7.111976194,9.732177949,7.673447998,29.38369112,53431,46229,15.02582943,29.74953843,18.7,49.57055215,0.533726301,34200,0
22101,St. Mary Parish,7.700413391,9.929480425,9.524195509,14.99554187,42.14963119,49348,39764,16.55884598,31.3657733,23.8,13.03934126,0.53509655,700000,0
22103,St. Tammany Parish,6.719939789,3.68636697,9.561514329,6.028745982,25.99656707,260419,67054,16.92837578,12.25286795,11.5,23.21810559,0.55024082,5300,0
22105,Tangipahoa Parish,3.190905178,6.159189065,12.24417103,13.0604491,34.65471438,134758,47128,14.37466829,30.06421134,21.7,40.92917248,0.632577704,1100,0
22107,Tensas Parish,0,4.614674665,13.844024,0,18.45869866,4334,28962,24.40609592,53.89959659,28.9,100,0.455752515,,0
22109,Terrebonne Parish,5.522311042,5.79390011,8.600320475,7.332904826,27.24943645,110461,51665,14.39727619,18.95587321,19,20.62846415,0.518297994,31900,0
22111,Union Parish,10.85579881,12.66509861,11.30812376,9.951148905,44.78017007,22108,43584,20.55530676,24.84997761,19.4,82.91008318,0.565993024,66300,0
22113,Vermilion Parish,1.008216968,10.75431433,8.233771908,9.578061199,29.5743644,59511,48263,15.22981782,14.15677754,17,54.62163141,0.59741126,82500,0
22115,Vernon Parish,1.686731746,10.12039048,9.487866073,10.12039048,31.41537878,47429,47664,12.19607041,13.82726156,15.3,49.8968166,0.662031435,226,0
22117,Washington Parish,9.958003204,5.628436593,12.33926484,15.15348314,43.07918777,46194,36850,17.93611266,30.11034305,24.9,66.6744403,0.593201785,2100000,0
22119,Webster Parish,2.869066249,7.824726135,18.51851852,7.824726135,37.03703704,38340,35070,19.75875045,34.00948503,29.6,53.04195889,0.567155571,38700,0
22121,West Baton Rouge Parish,11.33572643,4.534290572,6.423578311,4.534290572,26.82788589,26465,58205,13.64891967,39.37639535,14.4,30.46073651,0.93880414,376200,1
22123,West Carroll Parish,4.616805171,7.386888273,25.85410896,4.616805171,42.47460757,10830,39332,19.03114187,15.6164633,21,100,0.437520603,,0
22125,West Feliciana Parish,8.992805755,7.065775951,5.781089414,3.211716341,25.05138746,15568,60296,15.02587322,44.27554981,22.1,100,0.521375376,571600,0
22127,Winn Parish,3.596087457,10.78826237,16.5420023,10.06904488,40.99539701,13904,40133,18.5793123,30.61412198,23.4,64.89257494,0.587350152,111200,0
